subject,section,room,needs_lab,is_lab,score
CHRISTIAN LIVING 4,STEM 12-K,G209,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-L,G211,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-M,Y303,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-N,Y304,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-O,Y306,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-P,Y402,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-Q,Y403,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-R,V502,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-S,V503,False,False,1.0
"COMMUNITY, ENGAGEMENT,SOLIDARITY AND CITIZENSHIP",HUMSS 12-A,Y304,False,False,1.0
"COMMUNITY, ENGAGEMENT,SOLIDARITY AND CITIZENSHIP",HUMSS 12-B,Y306,False,False,1.0
"COMMUNITY, ENGAGEMENT,SOLIDARITY AND CITIZENSHIP",HUMSS 12-C,Y402,False,False,1.0
"COMMUNITY, ENGAGEMENT,SOLIDARITY AND CITIZENSHIP",HUMSS 12-D,Y403,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,ADT 11-A,Y303,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,ADT 11-B,L228,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,HUMSS 11-A,L204,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,HUMSS 11-B,L208,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,HUMSS 11-C,L209,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,HUMSS 11-D,L210,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,HUMSS 11-E,L211,False,False,1.0
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,SPT 11-A,Y604,False,False,1.0
CREATIVE INDUSTRIES 1 APPLIED ARTS DESIGN,ADT 11-A,Y303,False,False,1.0
CREATIVE INDUSTRIES 1 APPLIED ARTS DESIGN,ADT 11-B,L228,False,False,1.0
DISCIPLINE AND IDEAS IN THE APPLIED SOCIAL SCIENCE,HUMSS 12-A,Y304,False,False,1.0
DISCIPLINE AND IDEAS IN THE APPLIED SOCIAL SCIENCE,HUMSS 12-B,Y306,False,False,1.0
DISCIPLINE AND IDEAS IN THE APPLIED SOCIAL SCIENCE,HUMSS 12-C,Y402,False,False,1.0
DISCIPLINE AND IDEAS IN THE APPLIED SOCIAL SCIENCE,HUMSS 12-D,Y403,False,False,1.0
FUNDAMENTALS OF COACHING,SPT 12-A,Y606,False,False,1.0
GENERAL MATHEMATICS,ADT 11-B,L228,False,False,1.0
GENERAL MATHEMATICS,ADT 11-B,L228,False,False,1.0
GENERAL MATHEMATICS,ADT 11-A,Y303,False,False,1.0
GENERAL MATHEMATICS,ADT 11-A,Y303,False,False,1.0
GENERAL MATHEMATICS,SPT 11-A,Y604,False,False,1.0
GENERAL MATHEMATICS,STEM 11-B,Y405,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTCWR-1,V502,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTCWR-1,V502,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTDNC-1,V503,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTDNC-1,V503,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTMUS-1,Y505,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTMUS-1,Y505,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTTAR-1,G201,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTTAR-1,G201,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTVMA-1,G204,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTVMA-1,G204,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTVMA-2,Y303,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTVMA-2,Y303,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTVMA-3,L228,False,False,1.0
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,T-ADTVMA-3,L228,False,False,1.0
KOMUNIKASYON AT PANANALIKSIK SA WIKA AT KULTURANG PILIPINO,SPT 11-A,Y604,False,False,1.0
LEADERSHIP AND MANAGEMENT IN DIFFERENT ARTS FIELD 1,ADT 12-A,G101,False,False,1.0
LEADERSHIP AND MANAGEMENT IN DIFFERENT ARTS FIELD 1,ADT 12-B,G102,False,False,1.0
LEADERSHIP AND MANAGEMENT IN DIFFERENT ARTS FIELD 1,ADT 12-C,G103,False,False,1.0
MEDIA AND INFORMATION LITERACY,ABM 12-A,Y404,False,False,1.0
MEDIA AND INFORMATION LITERACY,ABM 12-B,Y405,False,False,1.0
MEDIA AND INFORMATION LITERACY,ABM 12-C,Y501,False,False,1.0
MEDIA AND INFORMATION LITERACY,ABM 12-D,Y502,False,False,1.0
MEDIA AND INFORMATION LITERACY,ABM 12-E,Y503,False,False,1.0
MEDIA INFORMATION AND LITERACY,ADT 12-A,G101,False,False,1.0
MEDIA INFORMATION AND LITERACY,ADT 12-B,G102,False,False,1.0
MEDIA INFORMATION AND LITERACY,ADT 12-C,G103,False,False,1.0
MEDIA INFORMATION AND LITERACY,HUMSS 12-A,Y304,False,False,1.0
MEDIA INFORMATION AND LITERACY,HUMSS 12-B,Y306,False,False,1.0
MEDIA INFORMATION AND LITERACY,HUMSS 12-C,Y402,False,False,1.0
MEDIA INFORMATION AND LITERACY,HUMSS 12-D,Y403,False,False,1.0
MEDIA INFORMATION AND LITERACY,SPT 12-A,Y606,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,SPT 11-A,Y604,False,False,1.0
ORGANIZATION AND MANAGEMENT,SPT 11-A,Y604,False,False,1.0
PERSONAL DEVELOPMENT,STEM 11-N,L228,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-A,E7A,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-B,E202,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-C,A1804,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-D,E7A,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-E,E801,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-F,E801,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-G,E7B,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-H,E801,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-I,E7B,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-J,E801,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 1,ADT 11-A,E803,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 1,ADT 11-B,E801,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 1,SPT 11-A,E803,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-A,E701,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-B,E803,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-C,E801,False,False,1.0
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-D,E801,False,False,1.0
